[Yezi Tea](http://www.yezitea.com/) | "Famous for their 6 teas for $6 sample, this store specializes in a small selection of curated teas. All of their stock is above medium quality to near super high quality, reasonable prices and U.S. based shipping."
[Capital Teas](http://capitalteas.com/) | "Has a wide variety of teas, falvored and unflavored as well as some signature blends."
[Nepali Tea Traders](http://www.nepaliteatraders.com/) | 
[Misty Peak Teas](http://mistypeakteas.com/) | 
[American Tea Room](http://www.americantearoom.com/) | "Huge varieties of quality teas from tea growing regions around the world. They are a US based tea company having 3 store locations in Los Angeles, Newport Beach and Beverly Hills."
[Teabox](http://www.teabox.com/) | "Offer a wide variety of Indian and Nepali teas, obviously focusing on black tea. Also have a personalized monthly subscription service."
[Norbu Tea](http://www.norbutea.com/) | "Based out of Dallas Texas. Small inventory, but covers a wide variety. This is one my first online shops that I bought from often."
[Silk Road Tea](http://silkroadteas.com/) | "Nice selection, mostly Chinese, but not all. Fairly priced, fast, good customer service."
[Tea and Coffee](http://tea-and-coffee.com/) | UK
[Golden Tips](http://goldentipstea.com/) | "Specializes in Indian teas, and a great source for Darjeelings. They list detailed information such as locations/estates and the date of picking. Prices are fair and shipping is reasonable and swift, despite shipping from the source in India."
[Breakaawy Matcha](http://www.breakawaymatcha.com/) | "My favorite and most trusted vendor for matcha green tea."
[Andoretea](http://www.adoretea.com.au/) | "Good variety, some lovely teas and I can't go past the $1 samplers. Always get a bunch of them with my order to pick things for next time."
[Rishi Tea](http://www.rishi-tea.com/) | "Loose leaf tea, tea bags, teaware."
[Towshend's Tea Co.](http://www.townshendstea.com/) | "Great Portland based tea company."
[Murchie's](http://www.murchies.com/store/) | "Canadian company that is my mom's favorite. They have some nice loose leaf unflavored blends."
[Daoist Meditation](http://daoistmeditation.com/shop/) | "Carries a small but very high quality selection of teas, not a big seller but has some interesting teas."
[Bamboo Tea House](http://bambooteas.com/) | "A wide variety of single-source teas, blends, flavored teas."
Vital Leaf Tea [San Francisco](https://vitaltealeaf.net/) and [Seattle](http://www.vtlseattle.com/) | "Their Blue People Oolong is my favorite tea and it's a great price."
[Sebz Tea & Lounge](http://www.sebz.ca/) | "They mostly have Chinese and Taiwanese green and oolong teas, with some very nice pu'er. Their kukichas are great, too, when they do have some." (Canadian)
[Red Leaf Tea](http://www.redleaftea.com/) | "Insane matcha selection of various grades and origins. Huge flavored matcha selection. Matcha smoothie mixes."
[Teasenz](https://www.teasenz.com/) | "This is my favorite online tea shop specialized in Chinese teas."
[Oxalis](http://www.oxalis.cz/) | "The choice of tea and blends is enormous."
[Fortnum and Mason](http://fortnumandmason.com/) | "British tea importers for over 300 years. Has online ordering, but in person is the best if you can get there."
[Mighty Leaf](http://www.mightyleaf.com/) | "Whole leaf tea both loose and in pouches."
[Art of Tea](http://www.artoftea.com/) | "Big selection, some award winning teas. More known for flavored/blends."
[Smacha](http://www.smacha.com/) | "They have the absolute best feeling custom ceramic tea ware. It is bizarre, but I really want their cups or auto brewer just because they feel so amazingly lovely. They also roast a lot of their own oolongs which are super delicious."
[Jing Tea Shop](http://jingteashop.com/) | "Some decent cliff teas many times and nice clay."
[Darjeeling Tea Boutique](http://www.darjeelingteaboutique.com/) | "A single Estate Premium Darjeeling store."
[Assam Tea Company](http://www.assamteacompany.com/) | "Specialists of Assam Tea."
[Darjeeling Tips](http://www.darjeelingtips.com/) | "Store which specialises in flavored blends with Darjeeling tea."
[Sencha Tea Bar](http://www.senchateabar.com/) | "The online tea store for Sencha Tea Bar in Minneapolis, MN featuring all types of tea."
[TeaLife Hong Kong](http://www.tealife.hk) | "Specializes in Hong Kong high fire oolongs and traditional storage puerh."
[TeaHaus](https://teahaus.com/) | (Ann Arbor, MI) "A fantastic selection of a wide variety of teas, including several they blend themselves. Their tea room is my absolute #1 place to go whenever I visit Ann Arbor."
[High Garden Tea](https://highgardentea.com/) | (Nashville, TN) "A good selection of teas and spices, though mostly tisanes."
[T2 Tea](https://www.t2tea.com/) | (All over Australia and New Zealand, but also in London and New York) "Mostly bulk teas, good for everyday drinking."
[Tea Spring](https://www.teaspring.com/) | "Chinese teas"
[Seven Cups](https://sevencups.com/) | "Chinese teas"
[Vahdam](https://www.vahdamteas.com/) | "Indian teas"
[Chado](https://www.chadotea.com/) | "Large variety of teas"
[King Tea](https://www.kingteamall.com/) | "Chinese tea, puerh, teaware.  TaoBao agent."
[Essence of Tea](https://www.essenceoftea.com/) | "Specializes in Wuyi yancha, puerh, liu bao, and Yixing teapots."
[Pipers Tea and Coffee](https://www.cupofpipers.com/) | "Hand blended organically sourced holistic teas. They pride themselves on their signature blends that taste as good as they smell."
[Dazzle Deer](https://www.dazzle-deer.com/) | "Premium Chinese Tea and Teawares. Directly sourced from China. US-based with fast local shipping."
[Yatra Tea Company](https://www.yatrateacompany.com/) | "Premium grade unflavored loose leaf black, green, and white tea.  Single origin sourced directly from estates in India and Nepal."
[TEAMALCHI ](http://www.teamalchi.com/) | "Selling GABA oolong, green, and black teas."
[Lazy Cat Tea](http://www.lazycattea.com) | "Wuyi yancha oolong, black tea, and teaware from China."
[Old Ways Tea](https://oldwaystea.com) | "Wuyi tea sourced directly from my family in China. Instant tea drunk with fast US shipping."
[Farmer Leaf](https://www.farmer-leaf.com/) | "Jingmai Pu-erh from the vendors own garden and processing, as well as selected Yunnan teas of all types."
[Golden Tea Leaf Co.](https://www.goldentleaf.com/) | "Located in Vancouver.  Online retailer, wholesales, and sells to shops. North American Tea Championship winners. Owns its own tea farms in Nantou Taiwan. Specialty: Oolong & Red Jade."
[Healthy-Leaf](http://healthy-leaf.com/) | "Premium Whole Leaf Teas from China. Pu Erh, Black, Green, Oolong and White teas. Worldwide free shipping."
[Leafy Green](http://www.leafygreentea.com/) | "Leafy Green ethically sources single-estate loose leaf teas directly from small farms in Asia, stimulating the livelihood of our growers."
[Zesta](https://www.zestaceylontea.com) | "The perfect cup of Ceylon Tea. Enjoy the finest blends and single origin teas including a diverse range of black, green, white, flavoured teas and herbal infusions from Sri Lanka.""
[Red Espresso](https://us.redespresso.com/) | "Red Espresso is a naturally caffeine-free, full flavored espresso made from pure South African organic Rooibos tea. Red Espresso is quick and easy to make with any coffee appliance, and you can add the wide range of Red Espresso products to milk or any dairy alternative of your choice to make all your favourite coffee style drinks. Redditors get 5% off with coupon code REDREDDIT5"
[Adore Tea](http://adoretea.com.au/) | "Adore Tea is the unparalleled infusion of a lifetime of passion and a quest for quality. Based in Australia we offer our customers a selection of over 200+ extraordinary teas, including 30+ blends exclusively created by Adore Tea."
